Collision Data
mass1:,0.5,I1:,0.25,r1,1.0
mass2:,3.5,I2:,1.75,r2,1.0
time,p1.pos.x,p1.pos.y,p1.th,p1.px,p1.py,p1.L,p2.pos.x,p2.pos.y,p2.th,p2.px,p2.py,p2.L
0.0,-14.9,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.05,-14.8,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.1,-14.700000000000001,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.15000000000000002,-14.600000000000001,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.2,-14.500000000000002,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.25,-14.400000000000002,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.3,-14.300000000000002,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.35,-14.200000000000003,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.39999999999999997,-14.100000000000003,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.44999999999999996,-14.000000000000004,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.49999999999999994,-13.900000000000004,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.5499999999999999,-13.800000000000004,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.6,-13.700000000000005,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.65,-13.600000000000005,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.7000000000000001,-13.500000000000005,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.7500000000000001,-13.400000000000006,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.8000000000000002,-13.300000000000006,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.8500000000000002,-13.200000000000006,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.9000000000000002,-13.100000000000007,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.9500000000000003,-13.000000000000007,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1.0000000000000002,-12.900000000000007,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1.0500000000000003,-12.800000000000008,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1.1000000000000003,-12.700000000000008,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1.1500000000000004,-12.600000000000009,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1.2000000000000004,-12.500000000000009,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1.2500000000000004,-12.40000000000001,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1.3000000000000005,-12.30000000000001,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1.3500000000000005,-12.20000000000001,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1.4000000000000006,-12.10000000000001,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1.4500000000000006,-12.00000000000001,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1.5000000000000007,-11.900000000000011,-1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
