Collision Data
mass1:,0.5,I1:,1.0,r1,2.0
mass2:,0.5,I2:,0.25,r2,1.0
time,p1.pos.x,p1.pos.y,p1.th,p1.px,p1.py,p1.L,p2.pos.x,p2.pos.y,p2.th,p2.px,p2.py,p2.L,F.x,F.y,tq1,tq2
0.65,-13.600000000000005,-1.0,9.854041341453546e-18,0.9999999999999974,-1.8985407813644977e-16,7.594163125457991e-17,6.976898637467125e-16,4.927020670726773e-17,1.9708082682907093e-17,2.6312856693629855e-15,1.8985407813644977e-16,3.797081562728996e-17,-1.3817486784428695e-14,-1.0159916753256389e-15,2.0319833506512777e-17,-1.0159916753256389e-17
0.7000000000000001,-13.500000000000005,-1.0,1.3651122904182542e-17,0.9999999999999966,-2.5887534123077366e-16,1.0355013649230948e-16,9.608184306830111e-16,6.825561452091272e-17,2.7302245808365085e-17,3.563072721136359e-15,2.5887534123077366e-16,5.177506824615474e-17,-1.8635741035467458e-14,-1.3804252618864777e-15,2.7608505237729555e-17,-1.3804252618864778e-17
0.7500000000000001,-13.400000000000006,-1.0,1.8828629728798017e-17,0.9999999999999953,-3.526582806275747e-16,1.410633122510299e-16,1.317125702796647e-15,9.414314864399009e-17,3.7657259457596034e-17,4.819764109053493e-15,3.526582806275747e-16,7.053165612551495e-17,-2.5133827758342693e-14,-1.8756587879360208e-15,3.7513175758720416e-17,-1.8756587879360208e-17
0.8000000000000002,-13.300000000000006,-1.0,2.588179534134951e-17,0.9999999999999937,-4.800916584593836e-16,1.9203666338375345e-16,1.7991021137019964e-15,1.2940897670674756e-16,5.176359068269902e-17,6.514628034216552e-15,4.800916584593836e-16,9.601833169187672e-17,-3.3897278503261177e-14,-2.5486675566361777e-15,5.0973351132723556e-17,-2.5486675566361778e-17
0.8500000000000002,-13.200000000000006,-1.0,3.5483628510537185e-17,0.9999999999999913,-6.532570892226084e-16,2.613028356890434e-16,2.4505649171236515e-15,1.7741814255268592e-16,7.096725702107437e-17,8.80041172029112e-15,6.532570892226084e-16,1.306514178445217e-16,-4.571567372149136e-14,-3.4633086152644957e-15,6.926617230528991e-17,-3.4633086152644957e-17
0.9000000000000002,-13.100000000000007,-1.0,4.8548770294989353e-17,0.9999999999999882,-8.885766798360106e-16,3.554306719344042e-16,3.3306060891527636e-15,2.4274385147494677e-16,9.709754058997871e-17,1.1883098357326689e-14,8.885766798360106e-16,1.777153359672021e-16,-6.165373274071138e-14,-4.706391812268041e-15,9.412783624536083e-17,-4.7063918122680414e-17
0.9500000000000003,-13.000000000000007,-1.0,6.632030389170956e-17,0.9999999999999841,-1.2083734659254552e-15,4.83349386370182e-16,4.5189159248854326e-15,3.3160151945854784e-16,1.3264060778341912e-16,1.604045657648947e-14,1.2083734659254552e-15,2.41674693185091e-16,-8.314716438325567e-14,-6.395935721788893e-15,1.2791871443577786e-16,-6.395935721788893e-17
1.0000000000000002,-12.90000000000001,-1.0000000000000002,9.048777321021867e-17,0.9999999999999786,-1.6429932323091719e-15,6.571972929236687e-16,6.12296158253438e-15,4.524388660510934e-16,1.8097554642043734e-16,2.1647051562839418e-14,1.6429932323091719e-15,3.2859864646183435e-16,-1.1213189972699894e-13,-8.692395327674332e-15,1.7384790655348666e-16,-8.692395327674333e-17
1.0500000000000003,-12.800000000000011,-1.0000000000000004,1.233476378564021e-16,0.999999999999971,-2.23368983171848e-15,8.93475932687392e-16,8.287666738818322e-15,6.167381892820105e-16,2.466952757128042e-16,2.920796803527857e-14,2.23368983171848e-15,4.46737966343696e-16,-1.51218329448783e-13,-1.1813931988186167e-14,2.3627863976372335e-16,-1.1813931988186168e-16
1.1000000000000003,-12.700000000000014,-1.0000000000000007,1.680214344907717e-16,0.9999999999999608,-3.036548939187079e-15,1.2146195756748315e-15,1.1208463542346179e-14,8.401071724538586e-16,3.360428689815434e-16,3.940427870012978e-14,3.036548939187079e-15,6.073097878374158e-16,-2.0392621329702422e-13,-1.605718214937198e-14,3.211436429874396e-16,-1.605718214937198e-16
1.1500000000000004,-12.600000000000017,-1.0000000000000009,2.287524132745133e-16,0.999999999999947,-4.127824263302576e-15,1.6511297053210302e-15,1.5148891412359158e-14,1.1437620663725666e-15,4.575048265490266e-16,5.315434778398505e-14,4.127824263302576e-15,8.255648526605151e-16,-2.7500138167710533e-13,-2.182550648230993e-14,4.3651012964619864e-16,-2.1825506482309932e-16
1.2000000000000004,-12.500000000000023,-1.0000000000000013,3.113088985405648e-16,0.9999999999999285,-5.6111950573615485e-15,2.2444780229446195e-15,2.0464326190757664e-14,1.5565444927028242e-15,6.226177970811296e-16,7.169648270972222e-14,5.6111950573615485e-15,1.1222390114723097e-15,-3.708426985147434e-13,-2.9667415881179454e-14,5.933483176235891e-16,-2.9667415881179457e-16
1.2500000000000004,-12.40000000000003,-1.000000000000002,4.2353279968779576e-16,0.9999999999999035,-7.62763723486657e-15,3.0510548939466286e-15,2.7633974461729886e-14,2.117663998438979e-15,8.470655993755915e-16,9.670036571078451e-14,7.62763723486657e-15,1.5255274469733143e-15,-5.000776600212459e-13,-4.0328843550100455e-14,8.065768710020091e-16,-4.0328843550100455e-16
1.3000000000000005,-12.30000000000004,-1.0000000000000027,5.760855443851272e-16,0.9999999999998698,-1.0368850057925131e-14,4.147540023170053e-15,3.730401103280834e-14,2.880427721925636e-15,1.1521710887702543e-15,1.3041728343440483e-13,1.0368850057925131e-14,2.0737700115850264e-15,-6.743383544724064e-13,-5.482425646117121e-14,1.0964851292234243e-15,-5.482425646117122e-16
1.3500000000000005,-12.200000000000053,-1.0000000000000038,7.834625455436298e-16,0.9999999999998243,-1.4095520144895117e-14,5.638208057958047e-15,5.034573937624882e-14,3.917312727718149e-15,1.5669250910872597e-15,1.7588265849543867e-13,1.4095520144895117e-14,2.8191040289790235e-15,-9.093075012206769e-13,-7.45334017393997e-14,1.4906680347879942e-15,-7.453340173939971e-16
1.4000000000000006,-12.10000000000007,-1.000000000000005,1.0653729484415322e-15,0.999999999999763,-1.9162166990269254e-14,7.664866796107704e-15,6.793400522579269e-14,5.326864742207661e-15,2.1307458968830643e-15,2.371890853244658e-13,1.9162166990269254e-14,3.832433398053852e-15,-1.2261285365805428e-12,-1.0133293690748278e-13,2.0266587381496557e-15,-1.0133293690748278e-15
1.4500000000000006,-12.000000000000094,-1.000000000000007,1.4486162882469173e-15,0.9999999999996803,-2.6050943632931e-14,1.0420377453172402e-14,9.165291375823927e-14,7.243081441234586e-15,2.8972325764938346e-15,3.198544050364069e-13,2.6050943632931e-14,5.210188726586201e-15,-1.6533063942388212e-12,-1.3777553285323492e-13,2.7555106570646986e-15,-1.3777553285323493e-15
1.5000000000000007,-11.900000000000126,-1.0000000000000098,1.9696351609055377e-15,0.9999999999995688,-3.5417622910000286e-14,1.4167049164000117e-14,1.2363835426187996e-13,9.848175804527687e-15,3.939270321811075e-15,4.3131788843353155e-13,3.5417622910000286e-14,7.0835245820000586e-15,-2.229269667942493e-12,-1.873335855413857e-13,3.746671710827714e-15,-1.873335855413857e-15
1.5500000000000007,-11.80000000000017,-1.0000000000000133,2.6779876191055433e-15,0.9999999999994185,-4.815416609335367e-14,1.926166643734147e-14,1.6677014310523312e-13,1.3389938095527716e-14,5.355975238211087e-15,5.816090979971018e-13,4.815416609335367e-14,9.630833218670735e-15,-3.0058241912714038e-12,-2.5473086366706764e-13,5.0946172733413525e-15,-2.5473086366706763e-15
1.6000000000000008,-11.700000000000228,-1.0000000000000182,3.641070940972617e-15,0.9999999999992158,-6.547385857470532e-14,2.618954342988213e-14,2.2493105290494328e-13,1.8205354704863084e-14,7.282141881945234e-15,7.842495000289165e-13,6.547385857470532e-14,1.3094771714941065e-14,-4.052808040636296e-12,-3.4639384962703303e-13,6.9278769925406605e-15,-3.4639384962703302e-15
1.6500000000000008,-11.600000000000307,-1.0000000000000246,4.950548112466723e-15,0.9999999999989426,-8.902715912030506e-14,3.5610863648122025e-14,3.0335600290783495e-13,2.4752740562333615e-14,9.901096224933447e-15,1.0574677863578745e-12,8.902715912030506e-14,1.7805431824061013e-14,-5.464365726579158e-12,-4.710660109119948e-13,9.421320218239896e-15,-4.710660109119948e-15
1.7000000000000008,-11.500000000000412,-1.0000000000000335,6.731091294872825e-15,0.9999999999985743,-1.2105935274961656e-13,4.842374109984662e-14,4.091027815436224e-13,3.365545647436412e-14,1.346218258974565e-14,1.4258380130949581e-12,1.2105935274961656e-13,2.421187054992331e-14,-7.367404534741673e-12,-6.406438725862299e-13,1.2812877451724599e-14,-6.406438725862299e-15
1.7500000000000009,-11.400000000000555,-1.0000000000000457,9.152278349865156e-15,0.9999999999980776,-1.6462510542560653e-13,6.585004217024262e-14,5.516865828531182e-13,4.576139174932578e-14,1.8304556699730312e-14,1.9224875936012467e-12,1.6462510542560653e-13,3.292502108512131e-14,-9.932991610125771e-12,-8.713150535197996e-13,1.7426301070395992e-14,-8.713150535197996e-15
1.800000000000001,-11.300000000000747,-1.0000000000000622,1.2444780458377287e-14,0.9999999999974081,-2.2388047690923304e-13,8.955219076369322e-14,7.439353422132429e-13,6.222390229188644e-14,2.4889560916754574e-14,2.5920732913662314e-12,2.2388047690923304e-13,4.477609538184661e-14,-1.3391713955299694e-11,-1.1851074296725303e-12,2.3702148593450606e-14,-1.1851074296725303e-14
1.850000000000001,-11.200000000001006,-1.0000000000000846,1.692238999656195e-14,0.9999999999965054,-3.0448038145268697e-13,1.2179215258107479e-13,1.003142671349866e-12,8.461194998280974e-14,3.38447799931239e-14,3.4947922222529247e-12,3.0448038145268697e-13,6.089607629053739e-14,-1.8054378617733863e-11,-1.6119980908690783e-12,3.223996181738156e-14,-1.611998090869078e-14
1.900000000000001,-11.100000000001357,-1.000000000000115,2.301199762561569e-14,0.9999999999952883,-4.1411960999109035e-13,1.6564784399643613e-13,1.3526218935751586e-12,1.1505998812807844e-13,4.602399525123138e-14,4.7117876590292195e-12,4.1411960999109035e-13,8.282392199821807e-14,-2.433990873552589e-11,-2.1927845707680677e-12,4.385569141536136e-14,-2.192784570768068e-14
1.950000000000001,-11.000000000001828,-1.0000000000001565,3.12943898254375e-14,0.9999999999936476,-5.63269317128867e-13,2.2530772685154677e-13,1.8238006594780806e-12,1.5647194912718749e-13,6.2588779650875e-14,6.352434437544793e-12,5.63269317128867e-13,1.1265386342577338e-13,-3.2812935570311476e-11,-2.982994142755532e-12,5.965988285511063e-14,-2.982994142755532e-14
2.000000000000001,-10.900000000002462,-1.000000000000213,4.255977616801484e-14,0.999999999991436,-7.661796601878823e-13,3.064718640751529e-13,2.45904410323256e-12,2.1279888084007417e-13,8.511955233602968e-14,8.564157176888118e-12,7.661796601878823e-13,1.5323593203757645e-13,-4.423445478686649e-11,-4.058206861180307e-12,8.116413722360614e-14,-4.058206861180307e-14
2.0500000000000007,-10.800000000003319,-1.0000000000002895,5.788336937177248e-14,0.9999999999884545,-1.0422448667295063e-12,4.1689794669180246e-13,3.315459820921372e-12,2.894168468588624e-13,1.1576673874354496e-13,1.1545661407537762e-11,1.0422448667295063e-12,2.0844897334590123e-13,-5.963008461299287e-11,-5.521304130832478e-12,1.1042608261664955e-13,-5.521304130832478e-14
2.1000000000000005,-10.700000000004474,-1.0000000000003937,7.872826670636261e-14,0.9999999999844353,-1.4178618694568235e-12,5.671447477827293e-13,4.4700259616751484e-12,3.9364133353181305e-13,1.5745653341272521e-13,1.556476333672025e-11,1.4178618694568235e-12,2.8357237389136465e-13,-8.038203858364977e-11,-7.512340054546343e-12,1.5024680109092686e-13,-7.512340054546343e-14
2.1500000000000004,-10.60000000000603,-1.0000000000005356,1.0708550409549907e-13,0.9999999999790177,-1.928961147661505e-12,7.715844590646019e-13,6.026502295347173e-12,5.354275204774954e-13,2.1417100819099815e-13,2.0982415685690234e-11,1.928961147661505e-12,3.8579222953230093e-13,-1.0835304697939967e-10,-1.0221985564093628e-11,2.0443971128187257e-13,-1.0221985564093628e-13
2.2,-10.500000000008129,-1.0000000000007285,1.4566472704872918e-13,0.999999999971715,-2.624453138905141e-12,1.0497812555620565e-12,8.124743863916196e-12,7.283236352436459e-13,2.9132945409745837e-13,2.8285081593749084e-11,2.624453138905141e-12,5.248906277810282e-13,-1.4605331816117696e-10,-1.3909839824872728e-11,2.781967964974546e-13,-1.390983982487273e-13
2.25,-10.400000000010957,-1.000000000000991,1.98153789826832e-13,0.9999999999618717,-3.570921786479017e-12,1.4283687145916067e-12,1.0953252023291104e-11,9.9076894913416e-13,3.96307579653664e-13,3.812835552851862e-11,3.570921786479017e-12,7.141843572958034e-13,-1.968654786953907e-10,-1.8929372951477514e-11,3.7858745902955026e-13,-1.8929372951477513e-13
2.3,-10.30000000001477,-1.000000000001348,2.6957222555641235e-13,0.9999999999486043,-4.8590169933322355e-12,1.9436067973328945e-12,1.4766087576142965e-11,1.3478611277820618e-12,5.391444511128247e-13,5.1395736159109056e-11,4.8590169933322355e-12,9.718033986664472e-13,-2.653476126118087e-10,-2.576190413706438e-11,5.152380827412876e-13,-2.576190413706438e-13
2.3499999999999996,-10.200000000019909,-1.0000000000018339,3.6675256542305705e-13,0.9999999999307223,-6.6121615877038246e-12,2.64486463508153e-12,1.9905661192053872e-11,1.8337628271152855e-12,7.335051308461141e-13,6.927781102170348e-11,6.6121615877038246e-12,1.322432317540765e-12,-3.576414972518884e-10,-3.506289188743178e-11,7.012578377486356e-13,-3.506289188743178e-13
2.3999999999999995,-10.100000000026837,-1.0000000000024951,4.989957971771336e-13,0.9999999999066211,-8.998411724638559e-12,3.5993646898554235e-12,2.683344229422422e-11,2.494978985885668e-12,9.979915943542671e-13,9.337893740475209e-11,8.998411724638559e-12,1.7996823449277117e-12,-4.820225276609723e-10,-4.7725002738694676e-11,9.545000547738936e-13,-4.772500273869468e-13
2.4499999999999993,-10.000000000036176,-1.000000000003395,6.789640316699047e-13,0.9999999998741391,-1.2246614075083889e-11,4.8986456300335554e-12,3.617133603469943e-11,3.394820158349524e-12,1.3579280633398094e-12,1.2586096090921985e-10,1.2246614075083889e-11,2.4493228150167777e-12,-6.49640470089355e-10,-6.496404700890661e-11,1.2992809401781322e-12,-6.496404700890661e-13
2.499999999999999,-9.900000000048761,-1.0000000000046196,9.238963131715824e-13,0.9999999998303633,-1.6668418185812612e-11,6.667367274325045e-12,4.875743212562142e-11,4.619481565857912e-12,1.847792626343165e-12,1.6963682160546096e-10,1.6668418185812612e-11,3.3336836371625225e-12,-8.755172139248225e-10,-8.843608221457447e-11,1.7687216442914894e-12,-8.843608221457447e-13
2.549999999999999,-9.800000000065726,-1.0000000000062865,1.2572646768878347e-12,0.9999999997713688,-2.2688268264874392e-11,9.075307305949756e-12,6.572111428616752e-11,6.286323384439173e-12,2.5145293537756694e-12,2.2863135238031595e-10,2.2688268264874392e-11,4.537653652974878e-12,-1.1798906154971e-09,-1.2039700158123558e-10,2.4079400316247118e-12,-1.2039700158123559e-12
2.5999999999999988,-9.70000000008859,-1.0000000000085554,1.7110300421853225e-12,0.9999999996918676,-3.088427025146108e-11,1.2353708100584432e-11,8.858424952419911e-11,8.555150210926612e-12,3.422060084370645e-12,3.0813257165029865e-10,3.088427025146108e-11,6.176854050292216e-12,-1.5900243853996538e-09,-1.6392003973173378e-10,3.278400794634676e-12,-1.639200397317338e-12
2.6499999999999986,-9.600000000119403,-1.0000000000116438,2.328715447214544e-12,0.9999999995847353,-4.2043882262494306e-11,1.681755290499772e-11,1.1939750668922898e-10,1.1643577236072721e-11,4.657430894429088e-12,4.1526484695638766e-10,4.2043882262494306e-11,8.40877645249886e-12,-2.1426455061217805e-09,-2.2319224022066445e-10,4.463844804413289e-12,-2.2319224022066447e-12
2.6999999999999984,-9.500000000160929,-1.0000000000158482,3.16959309246443e-12,0.999999999440374,-5.7239811571342504e-11,2.2895924628537e-11,1.6092399138486773e-10,1.5847965462322153e-11,6.33918618492886e-12,5.596261753907607e-10,5.7239811571342504e-11,1.14479623142685e-11,-2.8872265686874612e-09,-3.0391858617696404e-10,6.078371723539281e-12,-3.0391858617696404e-12
2.7499999999999982,-9.400000000216892,-1.0000000000215723,4.31438932389128e-12,0.9999999992458537,-7.793345863961198e-11,3.1173383455844794e-11,2.168866089239438e-10,2.1571946619456405e-11,8.62877864778256e-12,7.541464578330778e-10,7.793345863961198e-11,1.5586691727922397e-11,-3.890405648846342e-09,-4.1387294136538956e-10,8.277458827307792e-12,-4.138729413653896e-12
2.799999999999998,-9.300000000292306,-1.0000000000293656,5.873058496683519e-12,0.9999999989837568,-1.0611591874950906e-10,4.244636749980363e-11,2.923012547072516e-10,2.9365292483417605e-11,1.1746116993367038e-11,1.016243336856203e-09,1.0611591874950906e-10,2.1223183749901814e-11,-5.241937580462505e-09,-5.636492021979416e-10,1.1272984043958832e-11,-5.636492021979416e-12
2.849999999999998,-9.20000000039393,-1.0000000000399771,7.9953768716737e-12,0.9999999986306215,-1.4450019430973154e-10,5.780007772389261e-11,3.9392558839287193e-10,3.9976884358368515e-11,1.59907537433474e-11,1.3693786720122564e-09,1.4450019430973154e-10,2.8900038861946304e-11,-7.062706703121064e-09,-7.676855112044491e-10,1.5353710224088983e-11,-7.676855112044491e-12
2.8999999999999977,-9.100000000530867,-1.0000000000544271,1.0885380757868331e-11,0.9999999981548457,-1.9678324064783e-10,7.871329625913199e-11,5.308634555940976e-10,5.442690378934167e-11,2.1770761515736662e-11,1.8451543936926727e-09,1.9678324064783e-10,3.9356648129565995e-11,-9.515514433608326e-09,-1.045660926761969e-09,2.091321853523938e-11,-1.045660926761969e-11
2.9499999999999975,-9.000000000715383,-1.0000000000741054,1.482104557082493e-11,0.9999999975138657,-2.680032493476941e-10,1.0720129973907764e-10,7.153788949633649e-10,7.410522785412467e-11,2.964209114164986e-11,2.4861344719983487e-09,2.680032493476941e-10,5.360064986953882e-11,-1.281960156611352e-08,-1.4244001739972824e-09,2.8488003479945647e-11,-1.4244001739972823e-11
2.9999999999999973,-8.900000000963997,-1.0000000001009057,2.018111055777881e-11,0.9999999966503559,-3.650268272172124e-10,1.4601073088688495e-10,9.639923421631997e-10,1.0090555278889409e-10,4.036222111555762e-11,3.3496443150498557e-09,3.650268272172124e-10,7.300536544344247e-11,-1.7270196861030138e-08,-1.940471557390365e-09,3.88094311478073e-11,-1.940471557390365e-11
3.049999999999997,-8.800000001298962,-1.0000000001374083,2.748164710212306e-11,0.9999999954871144,-4.972133588192727e-10,1.9888534352770905e-10,1.2989567736681853e-09,1.3740823551061532e-10,5.496329420424612e-11,4.512885793171719e-09,4.972133588192727e-10,9.944267176385453e-11,-2.326482956243725e-08,-2.643730632041206e-09,5.287461264082412e-11,-2.643730632041206e-11
3.099999999999997,-8.70000000175025,-1.0000000001871296,3.7425914278508514e-11,0.9999999939201772,-6.773210795111627e-10,2.7092843180446504e-10,1.7502453529853573e-09,1.871295713925426e-10,7.485182855701703e-11,6.079822963235187e-09,6.773210795111627e-10,1.3546421590223252e-10,-3.1338743401269366e-08,-3.602154413837799e-09,7.204308827675599e-11,-3.602154413837799e-11
3.149999999999997,-8.600000002358232,-1.0000000002548617,5.0972335868731766e-11,0.9999999918095495,-9.227429187680688e-10,3.690971675072275e-10,2.358227649308876e-09,2.548616793436589e-10,1.0194467173746353e-10,8.190450780926265e-09,9.227429187680688e-10,1.8454858375361374e-10,-4.221255635382156e-08,-4.9084367851381215e-09,9.816873570276243e-11,-4.9084367851381217e-11
3.1999999999999966,-8.500000003177277,-1.0000000003471359,6.942719424409315e-11,0.9999999889667297,-1.257192301607045e-09,5.02876920642818e-10,3.1772727274015024e-09,3.4713597122046574e-10,1.388543884881863e-10,1.103327053520915e-08,1.257192301607045e-09,2.51438460321409e-10,-5.685639508565769e-08,-6.688987656779526e-09,1.3377975313559052e-10,-6.688987656779526e-11
3.2499999999999964,-8.400000004280605,-1.000000000472855,9.457104027623405e-11,0.9999999851379201,-1.713002963469611e-09,6.852011853878445e-10,4.280599780922418e-09,4.728552013811702e-10,1.891420805524681e-10,1.4862080095136047e-08,1.713002963469611e-09,3.4260059269392225e-10,-7.657619119853796e-08,-9.116213237251322e-09,1.8232426474502643e-10,-9.116213237251322e-11
3.2999999999999963,-8.300000005766814,-1.0000000006441554,1.2883109954562628e-10,0.9999999799814308,-2.3342667374010196e-09,9.33706694960408e-10,5.766807790436022e-09,6.441554977281314e-10,2.5766219909125255e-10,2.0018569419289e-08,2.3342667374010196e-09,4.66853347480204e-10,-1.0312978648305904e-07,-1.2425275478628175e-08,2.4850550957256353e-10,-1.2425275478628176e-10
3.349999999999996,-8.20000000776867,-1.000000000877582,1.7551643429364666e-10,0.9999999730372743,-3.18111508327208e-09,1.272446033308832e-09,7.768664732364923e-09,8.775821714682333e-10,3.5103286858729333e-10,2.6962725856401323e-08,3.18111508327208e-09,6.36223016654416e-10,-1.388831287422465e-07,-1.6936966917421204e-08,3.3873933834842406e-10,-1.6936966917421203e-10
3.399999999999996,-8.100000010464942,-1.0000000011956935,2.391387359590883e-10,0.9999999636862553,-4.335561872084902e-09,1.7342247488339608e-09,1.0464937318005055e-08,1.1956936797954414e-09,4.782774719181766e-10,3.6313744847585704e-08,4.335561872084902e-09,8.671123744169804e-10,-1.870203798236876e-07,-2.3088935776256434e-08,4.617787155251287e-10,-2.3088935776256434e-10
