Collision Data
mass1:,0.5,I1:,1.0,r1,2.0
mass2:,0.5,I2:,0.25,r2,1.0
time,p1.pos.x,p1.pos.y,p1.th,p1.px,p1.py,p1.L,p2.pos.x,p2.pos.y,p2.th,p2.px,p2.py,p2.L,F.x,F.y,tq1,tq2
0.0,-14.9,-1.0,0.0,1.0,-9.48032079037932e-19,0,0.0,0.0,0.0,1.412567797766519e-17,9.48032079037932e-19,0,-2.825135595533038e-16,-1.896064158075864e-17,0,0
0.05,-14.8,-1.0,0.0,1.0,-2.2354759901762766e-18,0,1.4125677977665191e-18,9.480320790379321e-20,0.0,3.317984786251269e-17,2.2354759901762766e-18,0,-3.8108339769694997e-16,-2.574887822276689e-17,0,0
0.1,-14.700000000000001,-1.0,0.0,1.0,-3.983909689497807e-18,0,4.730552584017788e-18,3.1835080692142086e-19,0.0,5.888182324253919e-17,3.983909689497807e-18,0,-5.140395076005299e-16,-3.496867398643061e-17,0,0
0.15000000000000002,-14.600000000000001,-1.0,0.0,1.0,-6.3584840122773356e-18,0,1.0618734908271707e-17,7.167417758712016e-19,0.0,9.35506083551203e-17,6.3584840122773356e-18,0,-6.933757022516222e-16,-4.749148645559057e-17,0,0
0.2,-14.500000000000002,-1.0,0.0,1.0,-9.583547725124784e-18,0,1.9973795743783737e-17,1.3525901770989353e-18,0.0,1.403140321914083e-16,9.583547725124784e-18,0,-9.3526847672576e-16,-6.450127425694896e-17,0,0
0.25,-14.400000000000002,-1.0,0.0,0.9999999999999999,-1.3963878943056463e-17,0,3.4005198962924564e-17,2.3109449496114135e-18,0.0,2.0339080172962451e-16,1.3963878943056463e-17,0,-1.261535390764324e-15,-8.760662435863361e-17,0,0
0.3,-14.300000000000002,-1.0,0.0,0.9999999999999998,-1.9913535743273057e-17,0,5.434427913588702e-17,3.70733284391706e-18,0.0,2.8847089397272183e-16,1.9913535743273057e-17,0,-1.7016018448619463e-15,-1.189931360043319e-16,0,0
0.35,-14.200000000000003,-1.0,0.0,0.9999999999999997,-2.799506193033492e-17,0,8.31913685331592e-17,5.698686418244366e-18,0.0,4.0322856582900033e-16,2.799506193033492e-17,0,-2.2951534371255695e-15,-1.6163052374123726e-16,0,0
0.39999999999999997,-14.100000000000003,-1.0,0.0,0.9999999999999996,-3.8972766991443724e-17,0,1.2351422511605923e-16,8.498192611277858e-18,0.0,5.580142071906345e-16,3.8972766991443724e-17,0,-3.095712827232683e-15,-2.1955410122217603e-16,0,0
0.44999999999999996,-14.000000000000004,-1.0,0.0,0.9999999999999993,-5.388513584689025e-17,0,1.7931564583512268e-16,1.239546931042223e-17,0.0,7.667873711668859e-16,5.388513584689025e-17,0,-4.175463279525028e-15,-2.982473771089305e-16,0,0
