Collision Data
mass1:,0.5,I1:,0.25,r1,1.0
mass2:,0.5,I2:,0.25,r2,1.0
time,p1.pos.x,p1.pos.y,p1.th,p1.px,p1.py,p1.L,p2.pos.x,p2.pos.y,p2.th,p2.px,p2.py,p2.L,F.x,F.y,tq1,tq2
0.0,-14.9,-2.0,0.0,1.0,-6.944432327794254e-20,5.173602084206719e-19,0.0,0.0,0.0,5.173602084206719e-19,6.944432327794254e-20,0.0,-1.0347204168413438e-17,-1.3888864655588508e-18,1.0347204168413438e-17,0.0
0.05,-14.8,-2.0,1.034720416841344e-19,1.0,-1.6355344796465947e-19,1.2137677311023771e-18,5.17360208420672e-20,6.944432327794254e-21,0.0,1.2137677311023771e-18,1.6355344796465947e-19,1.9923096561041923e-21,-1.3928150453634105e-17,-1.8821824937343386e-18,1.3928150453634105e-17,3.9846193122083844e-20
0.1,-14.700000000000001,-2.0,3.4622558790460984e-19,1.0,-2.910885826791921e-19,2.151150971254192e-18,1.7311279395230492e-19,2.32997771242602e-20,3.984619312208385e-22,2.151150971254192e-18,2.910885826791921e-19,7.069349657802774e-21,-1.87476648030363e-17,-2.5507026942906525e-18,1.87476648030363e-17,1.0154080003397163e-19
0.15000000000000002,-14.600000000000001,-2.0,7.764557821554483e-19,1.0,-4.639233105875153e-19,3.4128444849849524e-18,3.8822789107772413e-19,5.240863539217941e-20,1.8123318627813932e-21,3.4128444849849524e-18,4.639233105875153e-19,1.675817641180062e-20,-2.5233870274615203e-17,-3.4566945581664657e-18,2.5233870274615203e-17,1.937765350799569e-19
0.2,-14.500000000000002,-2.0,1.4590246791524386e-18,1.0,-6.981493375238346e-19,5.110983180273267e-18,7.295123395762193e-19,9.880096645093094e-20,5.1639671451415174e-21,5.110983180273267e-18,6.981493375238346e-19,3.3174561733706435e-20,-3.39627739057663e-17,-4.684520538726385e-18,3.39627739057663e-17,3.2832770643811623e-19
0.25,-14.400000000000002,-2.0,2.481221315207092e-18,1.0,-1.0155751122357435e-18,7.396448758199011e-18,1.240610657603546e-18,1.686159002033144e-19,1.1798879491882805e-20,7.396448758199011e-18,1.0155751122357435e-18,5.923085345732243e-20,-4.570931155851487e-17,-6.348515494238176e-18,4.570931155851487e-17,5.211258344723201e-19
0.3,-14.300000000000002,-2.0,3.960511066846894e-18,1.0,-1.4457569137560925e-18,1.0472248639069507e-17,1.980255533423447e-18,2.7017341142688876e-19,2.3645050183347293e-20,1.0472248639069507e-17,1.4457569137560925e-18,9.891681210370437e-20,-6.151599761740991e-17,-8.60363603040698e-18,6.151599761740991e-17,7.937191729276387e-19
0.35,-14.200000000000003,-2.0,6.0549607946607955e-18,1.0,-2.028751603438908e-18,1.46115109358175e-17,3.0274803973303978e-18,4.14749102802498e-19,4.342841260408817e-20,1.46115109358175e-17,2.028751603438908e-18,1.5767948212590827e-19,-8.278524593495981e-17,-1.1659893793656308e-17,8.278524593495981e-17,1.175253400444078e-18
0.39999999999999997,-14.100000000000003,-2.0,8.977262981824295e-18,1.0,-2.8188474673078e-18,2.018168677609319e-17,4.488631490912148e-18,6.176242631463888e-19,7.496430902926983e-20,2.018168677609319e-17,2.8188474673078e-18,2.4293743801964565e-19,-1.1140351680551383e-16,-1.5801917277377843e-17,1.1140351680551383e-16,1.705159117874748e-18
0.44999999999999996,-14.000000000000004,-2.0,1.3013600337042932e-17,1.0,-3.8896206909691825e-18,2.7677099341722863e-17,6.506800168521466e-18,8.995090098771688e-19,1.2355179663319896e-19,2.7677099341722863e-17,3.8896206909691825e-18,3.647773038159207e-19,-1.499082513125935e-16,-2.141546447322764e-17,1.499082513125935e-16,2.4367973159255012e-18
0.49999999999999994,-13.900000000000004,-2.0,1.8549020205387506e-17,1.0,-5.3407885026614075e-18,3.776271563298383e-17,9.274510102693753e-18,1.288471078974087e-18,1.965072573963831e-19,3.776271563298383e-17,5.3407885026614075e-18,5.368974448622846e-19,-2.0171232582521929e-16,-2.9023356233844493e-17,2.0171232582521929e-16,3.4424028209272768e-18
0.5499999999999999,-13.800000000000004,-2.0,2.6101563331984274e-17,1.0,-7.307497394190427e-18,5.1333006984534065e-17,1.3050781665992137e-17,1.822549929240228e-18,3.0388674636884003e-19,5.1333006984534065e-17,7.307497394190427e-18,7.778867549167066e-19,-2.714058270310047e-16,-3.933417783058038e-17,2.714058270310047e-16,4.819786201088441e-18
0.6,-13.700000000000005,-2.0,3.6368164728891085e-17,1.0,-9.972911676088636e-18,6.959109481553681e-17,1.8184082364445543e-17,2.5532996686592708e-18,4.594640973521814e-19,6.959109481553681e-17,9.972911676088636e-18,1.112957653278994e-18,-3.6516175662005483e-16,-5.3308285637964194e-17,3.651617566200549e-16,6.701417967245747e-18
0.65,-13.600000000000005,-2.0,5.0286383691998445e-17,1.0,-1.3585275073359176e-17,9.41551659169765e-17,2.5143191845999222e-17,3.550590836268134e-18,6.820556280079801e-19,9.41551659169765e-17,1.3585275073359176e-17,1.5762946707209376e-18,-4.912814220287938e-16,-7.224726794541082e-17,4.912814220287938e-16,9.266740348838874e-18
0.7000000000000001,-13.500000000000005,-2.0,6.911741687539374e-17,1.0,-1.8481034760029063e-17,1.2720154380199825e-16,3.455870843769687e-17,4.909118343604052e-18,9.973145621521676e-19,1.2720154380199825e-16,1.8481034760029063e-17,2.2142372744389074e-18,-6.609275577004351e-16,-9.791519373339774e-17,6.609275577004352e-16,1.2758852074359394e-17
0.7500000000000001,-13.400000000000006,-2.0,9.455772563579338e-17,1.0,-2.5116181977021257e-17,1.7165703015584598e-16,4.727886281789669e-17,6.757221819606958e-18,1.440162017039949e-18,1.7165703015584596e-16,2.5116181977021257e-17,3.0895931920205438e-18,-8.891097270769542e-16,-1.3270294433984388e-16,8.891097270769544e-16,1.7507118351632726e-17
0.8000000000000002,-13.300000000000006,-2.0,1.2888913166696258e-16,0.9999999999999999,-3.410872877934074e-17,2.3145746639127057e-16,6.444456583348129e-17,9.268840017309084e-18,2.0580806554440577e-18,2.3145746639127057e-16,3.410872877934074e-17,4.287483664615412e-18,-1.196008724708492e-15,-1.7985093604638968e-16,1.1960087247084921e-15,2.395780945189737e-17
0.8500000000000002,-13.200000000000006,-2.0,1.751806249452167e-16,0.9999999999999998,-4.6296277801666684e-17,3.1189528993862185e-16,8.759031247260835e-17,1.2679712895243158e-17,2.9155773883671404e-18,3.1189528993862185e-16,4.6296277801666684e-17,5.923264574967685e-18,-1.6087564709470255e-15,-2.4375098044651893e-16,1.608756470947026e-15,3.2715618207045446e-17
0.9000000000000002,-13.100000000000007,-2.0,2.375596829329411e-16,0.9999999999999997,-6.281404782479988e-17,4.2008668359014433e-16,1.1877984146647054e-16,1.7309340675409826e-17,4.100230303360677e-18,4.2008668359014433e-16,6.281404782479988e-17,8.15326051408906e-18,-2.1638278730304493e-15,-3.3035540046266386e-16,2.16382787303045e-15,4.45999187824275e-17
0.9500000000000003,-13.000000000000007,-2.0,3.2157701965096996e-16,0.9999999999999996,-8.5200623293094e-17,5.655994241340563e-16,1.6078850982548498e-16,2.3590745457889813e-17,5.730882406178489e-18,5.655994241340562e-16,8.5200623293094e-17,1.1189310533701255e-17,-2.910254810878237e-15,-4.4773150936588235e-16,2.9102548108782387e-15,6.072100039224387e-17
1.0000000000000002,-12.900000000000007,-2.0,4.346969044777812e-16,0.9999999999999993,-1.1554127820070855e-16,7.612966482881703e-16,2.173484522388906e-16,3.211080778719922e-17,7.968744512918741e-18,7.6129664828817e-16,1.1554127820070855e-16,1.5318478917881487e-17,-3.9139444830822774e-15,-6.068130981522908e-16,3.9139444830822806e-15,8.258336768360465e-17
1.0500000000000003,-12.800000000000008,-2.0,5.869562341354152e-16,0.9999999999999991,-1.5666222437226308e-16,1.0244707037861197e-15,2.934781170677076e-16,4.366493560727007e-17,1.1032440296495039e-17,1.0244707037861191e-15,1.5666222437226308e-16,2.092976477179647e-17,-5.263481109958983e-15,-8.224189234310906e-16,5.2634811099589886e-15,1.1222571707829964e-16
